City,Country,Latitude,Longitude,Temperature,Wind,Pressure,Humidity,Cloudiness,Date
lavrentiya,PG,65.5833,-171.0,8.3,8.81,1010.0,73.0,99.0,1628377131.0
hay river,PG,60.8156,-115.7999,13.99,5.14,999.0,100.0,90.0,1628377132.0
bluff,PG,-46.6,168.3333,3.22,0.3,1008.0,79.0,100.0,1628377133.0
haikou,PG,20.0458,110.3417,28.07,1.0,1003.0,89.0,0.0,1628377135.0
perth,PG,-31.9333,115.8333,13.27,6.17,1012.0,94.0,40.0,1628377000.0
mount gambier,PG,-37.8333,140.7667,2.95,0.0,1031.0,93.0,90.0,1628377137.0
castro,PG,-24.7911,-50.0119,12.61,2.21,1022.0,79.0,51.0,1628377138.0
upernavik,PG,72.7868,-56.1549,4.82,4.45,1000.0,95.0,100.0,1628377140.0
georgetown,PG,5.4112,100.3354,26.7,1.03,1011.0,87.0,20.0,1628377141.0
hasaki,PG,35.7333,140.8333,25.22,9.93,998.0,93.0,100.0,1628377142.0
leshukonskoye,PG,64.8989,45.7622,8.74,1.37,1025.0,90.0,0.0,1628377144.0
new norfolk,PG,-42.7826,147.0587,1.82,1.37,1030.0,87.0,96.0,1628377145.0
tiksi,PG,71.6872,128.8694,9.61,1.98,1022.0,72.0,36.0,1628377146.0
arraial do cabo,PG,-22.9661,-42.0278,20.92,4.63,1025.0,68.0,0.0,1628376854.0
mahebourg,PG,-20.4081,57.7,20.16,1.54,1021.0,88.0,75.0,1628377149.0
kapaa,PG,22.0752,-159.319,27.38,1.79,1020.0,67.0,53.0,1628377151.0
atuona,PG,-9.8,-139.0333,25.05,6.04,1014.0,81.0,62.0,1628377152.0
ouesso,PG,1.6136,16.0517,21.48,0.73,1015.0,97.0,99.0,1628377154.0
mataura,PG,-46.1927,168.8643,3.04,0.43,1008.0,94.0,100.0,1628377155.0
kon tum,PG,14.35,108.0,22.1,0.6,1010.0,97.0,100.0,1628377156.0
east london,PG,-33.0153,27.9116,15.06,5.03,1019.0,78.0,63.0,1628377158.0
mangrol,PG,21.1167,70.1167,27.38,4.56,1004.0,79.0,79.0,1628377159.0
tuktoyaktuk,PG,69.4541,-133.0374,7.0,7.2,1014.0,81.0,90.0,1628377160.0
souillac,PG,-20.5167,57.5167,20.21,1.54,1021.0,88.0,75.0,1628377163.0
porto novo,PG,6.4965,2.6036,25.9,1.7,1016.0,93.0,97.0,1628377164.0
beyneu,PG,45.3167,55.2,29.47,2.53,1011.0,18.0,0.0,1628377165.0
nong chik,PG,6.8436,101.178,25.24,2.64,1010.0,85.0,24.0,1628377167.0
kavieng,PG,-2.5744,150.7967,28.12,6.46,1014.0,77.0,89.0,1628377168.0
arman,PG,59.7,150.1667,18.13,1.56,1022.0,59.0,29.0,1628377169.0
severo-kurilsk,PG,50.6789,156.125,13.35,3.58,1017.0,70.0,68.0,1628377171.0
port alfred,PG,-33.5906,26.891,14.99,5.26,1018.0,81.0,77.0,1628377172.0
los algarrobos,PG,8.5,-82.4333,24.23,5.14,1012.0,88.0,75.0,1628377173.0
nikolskoye,PG,59.7035,30.7861,17.94,2.54,1008.0,99.0,99.0,1628377175.0
jamestown,PG,42.097,-79.2353,24.52,2.3,1015.0,90.0,100.0,1628377176.0
norman wells,PG,65.282,-126.8329,11.02,3.6,1014.0,58.0,75.0,1628376946.0
saint george,PG,37.1041,-113.5841,38.04,1.79,1009.0,10.0,0.0,1628377024.0
yanam,PG,16.7333,82.2167,27.31,1.73,1005.0,83.0,93.0,1628377182.0
aklavik,PG,68.2191,-135.0107,11.0,4.12,1015.0,66.0,75.0,1628377183.0
tongliao,PG,43.6125,122.2653,24.16,3.97,1006.0,68.0,11.0,1628377184.0
tilichiki,PG,60.4667,166.1,12.52,3.87,1016.0,57.0,81.0,1628377185.0
loubomo,PG,-4.1997,12.6739,19.54,1.87,1017.0,93.0,44.0,1628377024.0
bunia,PG,1.5667,30.25,16.43,1.42,1016.0,97.0,53.0,1628377188.0
khatanga,PG,71.9667,102.5,12.59,4.0,1019.0,62.0,29.0,1628377189.0
pavino,PG,59.1139,46.1414,13.96,2.06,1021.0,83.0,95.0,1628377191.0
acapulco,PG,16.8634,-99.8901,28.01,4.23,1012.0,82.0,78.0,1628377192.0
matay,PG,28.419,30.7792,30.11,5.19,1008.0,43.0,0.0,1628377193.0
chuy,PG,-33.6971,-53.4616,16.78,2.88,1017.0,86.0,7.0,1628377194.0
charters towers,PG,-20.1,146.2667,17.83,4.71,1024.0,60.0,0.0,1628377197.0
smithers,PG,54.7804,-127.1743,17.18,6.17,1009.0,55.0,90.0,1628377198.0
petropavlovsk-kamchatskiy,PG,53.0452,158.6483,13.33,1.0,1017.0,72.0,40.0,1628377201.0
lagos,PG,6.5833,3.75,25.18,2.75,1016.0,96.0,100.0,1628376607.0
ohara,PG,35.25,140.3833,25.29,12.17,995.0,98.0,100.0,1628377213.0
grand-santi,PG,4.25,-54.3833,23.12,1.32,1013.0,98.0,73.0,1628377214.0
olinda,PG,-8.0089,-34.8553,23.65,8.38,1019.0,78.0,64.0,1628377216.0
carlton,PG,45.2943,-123.1765,26.09,3.58,1012.0,61.0,43.0,1628377217.0
yongan,PG,39.6957,113.6871,20.82,1.94,1008.0,71.0,100.0,1628377218.0
soe,PG,-9.8607,124.284,17.61,1.66,1016.0,78.0,60.0,1628377221.0
guerrero negro,PG,27.9769,-114.0611,26.78,6.71,1011.0,60.0,41.0,1628377223.0
longyearbyen,PG,78.2186,15.6401,6.91,5.14,1018.0,76.0,75.0,1628377225.0
port elizabeth,PG,-33.918,25.5701,14.14,3.0,1016.0,80.0,100.0,1628377227.0
shingu,PG,33.7333,135.9833,28.84,3.29,1002.0,67.0,16.0,1628377228.0
coihaique,PG,-45.5752,-72.0662,2.39,3.57,1020.0,96.0,80.0,1628377231.0
zyryanka,PG,65.75,150.85,14.9,3.28,1026.0,57.0,16.0,1628377232.0
bubaque,PG,11.2833,-15.8333,26.42,5.81,1017.0,75.0,14.0,1628377234.0
cabo san lucas,PG,22.8909,-109.9124,31.05,4.98,1011.0,71.0,97.0,1628377236.0
meadow lake,PG,34.8014,-106.5436,34.02,7.57,1007.0,16.0,39.0,1628377238.0
kodiak,PG,57.79,-152.4072,12.73,6.69,1011.0,82.0,90.0,1628377239.0
andra,PG,62.5147,65.8878,15.92,2.2,1012.0,75.0,61.0,1628377241.0
dargaville,PG,-35.9333,173.8833,14.7,5.96,1010.0,75.0,100.0,1628377242.0
iralaya,PG,15.0,-83.2333,27.41,4.03,1014.0,81.0,77.0,1628377244.0
darhan,PG,49.4867,105.9228,15.35,1.69,1009.0,77.0,85.0,1628377245.0
auki,PG,-8.7676,160.7034,28.68,0.66,1015.0,66.0,87.0,1628377246.0
amapa,PG,1.0,-52.0,24.09,0.92,1012.0,76.0,76.0,1628377247.0
bomet,PG,-0.7813,35.3416,12.1,1.58,1017.0,91.0,79.0,1628377249.0
antalaha,PG,-14.9003,50.2788,18.41,2.59,1018.0,91.0,27.0,1628377250.0
grand gaube,PG,-20.0064,57.6608,20.21,1.34,1020.0,78.0,37.0,1628377252.0
hilo,PG,19.7297,-155.09,26.04,1.34,1020.0,79.0,65.0,1628377050.0
mimarsinan,PG,41.0032,28.5377,23.31,4.91,1013.0,71.0,0.0,1628377254.0
kaitangata,PG,-46.2817,169.8464,6.13,2.38,1007.0,63.0,100.0,1628377255.0
beringovskiy,PG,63.05,179.3167,6.38,10.63,1015.0,86.0,100.0,1628377257.0
clyde river,PG,70.4692,-68.5914,4.13,3.6,1002.0,100.0,90.0,1628377258.0
ahipara,PG,-35.1667,173.1667,14.48,5.97,1011.0,82.0,100.0,1628377260.0
krynychky,PG,48.3755,34.467,20.29,6.21,1011.0,78.0,97.0,1628376978.0
suleja,PG,9.1758,7.1808,21.11,1.44,1016.0,97.0,100.0,1628377263.0
swift current,PG,50.2834,-107.8014,29.5,0.85,999.0,28.0,69.0,1628377264.0
yuryev-polskiy,PG,56.5,39.6833,18.84,3.97,1013.0,69.0,100.0,1628377266.0
lata,PG,40.1629,-8.3327,16.34,1.48,1017.0,98.0,21.0,1628377267.0
leningradskiy,PG,69.3833,178.4167,3.88,6.23,1028.0,75.0,77.0,1628377269.0
kavaratti,PG,10.5669,72.642,27.15,9.26,1009.0,79.0,100.0,1628377270.0
redmond,PG,47.674,-122.1215,21.69,4.02,1010.0,64.0,100.0,1628377004.0
dikson,PG,73.5069,80.5464,8.77,4.63,1016.0,75.0,9.0,1628377272.0
saurimo,PG,-9.6608,20.3916,16.04,1.91,1016.0,18.0,89.0,1628377274.0
madera,PG,37.1666,-119.8343,38.35,2.75,1012.0,18.0,0.0,1628377275.0
dingle,PG,10.9995,122.6711,27.03,2.17,1011.0,84.0,91.0,1628377276.0
yarim,PG,14.298,44.3779,17.26,2.06,1014.0,57.0,89.0,1628377279.0
sangmelima,PG,2.9333,11.9833,19.6,1.99,1017.0,98.0,100.0,1628377280.0
medea,PG,36.2642,2.7539,20.25,1.91,1012.0,45.0,2.0,1628377281.0
labuhan,PG,-6.8844,112.2051,25.86,3.3,1012.0,83.0,70.0,1628377283.0
chokurdakh,PG,70.6333,147.9167,16.28,3.76,1028.0,39.0,30.0,1628377284.0
luderitz,PG,-26.6481,15.1594,14.81,1.65,1018.0,57.0,28.0,1628377285.0
hovd,PG,48.0056,91.6419,12.89,0.37,1014.0,71.0,3.0,1628377287.0
vao,PG,-22.6667,167.4833,19.71,2.51,1022.0,63.0,99.0,1628377288.0
touros,PG,-5.1989,-35.4608,24.32,7.9,1017.0,78.0,78.0,1628377289.0
shawinigan,PG,46.5668,-72.7491,22.35,2.06,1015.0,88.0,55.0,1628377074.0
ortakoy,PG,38.7373,34.0387,16.25,0.58,1009.0,73.0,99.0,1628377292.0
marathon,PG,44.9,-89.7668,19.23,4.12,1011.0,91.0,90.0,1628377293.0
naze,PG,28.3667,129.4833,26.29,14.65,999.0,90.0,100.0,1628377294.0
praia da vitoria,PG,38.7333,-27.0667,20.98,4.15,1027.0,73.0,24.0,1628377296.0
pangnirtung,PG,66.1451,-65.7125,5.8,1.51,998.0,83.0,97.0,1628377297.0
kaabong,PG,3.4836,34.1492,19.32,2.74,1014.0,53.0,51.0,1628377298.0
lorengau,PG,-2.0226,147.2712,27.72,5.01,1014.0,77.0,69.0,1628377300.0
marawi,PG,7.9986,124.2928,20.36,1.6,1013.0,88.0,99.0,1628377301.0
kruisfontein,PG,-34.0033,24.7314,13.01,2.3,1016.0,45.0,100.0,1628377302.0
sayyan,PG,15.1718,44.3244,18.16,0.33,1014.0,53.0,83.0,1628377304.0
meulaboh,PG,4.1363,96.1285,24.54,2.28,1011.0,86.0,96.0,1628377307.0
cherskiy,PG,68.75,161.3,16.02,2.2,1027.0,40.0,65.0,1628377309.0
lebu,PG,-37.6167,-73.65,9.07,9.61,1022.0,76.0,32.0,1628377311.0
ilulissat,PG,69.2167,-51.1,7.01,2.06,996.0,65.0,40.0,1628377313.0
bilibino,PG,68.0546,166.4372,14.21,6.83,1026.0,47.0,13.0,1628377314.0
tungor,PG,53.3808,142.9564,14.53,4.53,1024.0,69.0,72.0,1628377315.0
vila franca do campo,PG,37.7167,-25.4333,21.23,2.77,1026.0,78.0,12.0,1628377317.0
yellowknife,PG,62.456,-114.3525,19.55,7.59,999.0,52.0,100.0,1628377211.0
novyy urengoy,PG,66.0833,76.6333,16.18,3.08,1014.0,63.0,3.0,1628377320.0
iquique,PG,-20.2208,-70.1431,14.56,2.25,1019.0,83.0,42.0,1628377322.0
salamiyah,PG,35.0113,37.0532,24.86,5.69,1006.0,78.0,2.0,1628377323.0
hobart,PG,-42.8794,147.3294,3.37,1.79,1028.0,85.0,0.0,1628377324.0
douglas,PG,41.3,-96.167,29.29,2.06,1008.0,76.0,1.0,1628377326.0
portland,PG,45.5234,-122.6762,26.1,0.45,1012.0,63.0,56.0,1628377106.0
kargasok,PG,59.0556,80.8572,15.84,2.12,1011.0,92.0,90.0,1628377328.0
pinega,PG,64.7001,43.3936,9.86,1.26,1025.0,80.0,0.0,1628377330.0
ancud,PG,-41.8697,-73.8203,6.79,3.14,1026.0,80.0,44.0,1628377331.0
tupaciguara,PG,-18.5922,-48.705,19.03,4.27,1020.0,47.0,6.0,1628377332.0
sao filipe,PG,14.8961,-24.4956,25.81,3.29,1015.0,84.0,61.0,1628377333.0
katsuura,PG,35.1333,140.3,26.06,13.5,994.0,98.0,100.0,1628377335.0
davila,PG,18.4726,120.5763,27.98,9.95,1008.0,84.0,100.0,1628377336.0
tawau,PG,4.2498,117.8871,26.63,0.9,1011.0,83.0,98.0,1628377337.0
jardim,PG,-21.4803,-56.1381,24.1,1.86,1012.0,31.0,0.0,1628377110.0
mastic,PG,40.802,-72.8409,24.31,4.12,1018.0,84.0,1.0,1628377341.0
mayo,PG,38.8876,-76.5119,21.94,0.89,1010.0,91.0,90.0,1628377342.0
pemba,PG,-12.974,40.5178,23.39,1.54,1018.0,83.0,75.0,1628377344.0
sitka,PG,57.0531,-135.33,15.13,2.13,1015.0,92.0,99.0,1628377345.0
egvekinot,PG,66.3167,-179.1667,2.95,7.66,1019.0,76.0,91.0,1628377346.0
fortuna,PG,40.5982,-124.1573,21.09,1.79,1015.0,66.0,40.0,1628377348.0
porto seguro,PG,-16.4497,-39.0647,21.49,5.49,1024.0,80.0,71.0,1628377349.0
berbera,PG,10.4396,45.0143,32.72,4.52,1005.0,48.0,21.0,1628377350.0
itoman,PG,26.1247,127.6694,27.01,10.29,998.0,94.0,75.0,1628377352.0
la asuncion,PG,11.0333,-63.8628,30.85,6.69,1012.0,58.0,12.0,1628377354.0
vestmannaeyjar,PG,63.4427,-20.2734,12.38,4.01,1008.0,92.0,100.0,1628377355.0
magadan,PG,59.5667,150.8,16.1,1.12,1022.0,66.0,53.0,1628377357.0
kjopsvik,PG,68.097,16.3742,14.67,3.37,1016.0,55.0,100.0,1628377358.0
esperance,PG,-33.8667,121.9,11.91,0.76,1015.0,78.0,100.0,1628377359.0
narsaq,PG,60.9167,-46.05,8.12,3.2,996.0,95.0,100.0,1628377360.0
osa,PG,57.2829,55.4567,9.24,1.47,1020.0,86.0,1.0,1628377362.0
almaznyy,PG,48.0448,40.045,30.08,2.78,1007.0,32.0,100.0,1628377363.0
porirua,PG,-41.1333,174.85,9.21,9.98,1000.0,69.0,100.0,1628377163.0
synya,PG,65.3718,58.0387,10.03,3.57,1021.0,99.0,100.0,1628377366.0
shishou,PG,29.7226,112.419,25.95,2.79,1004.0,93.0,75.0,1628377367.0
mayumba,PG,-3.432,10.6554,22.53,2.58,1017.0,87.0,95.0,1628377368.0
san juan,PG,-31.5375,-68.5364,16.08,6.65,1015.0,37.0,0.0,1628377369.0
abnub,PG,27.2696,31.1511,33.4,5.26,1007.0,20.0,0.0,1628377371.0
ponta do sol,PG,32.6667,-17.1,22.24,2.63,1020.0,86.0,82.0,1628377372.0
tabou,PG,4.423,-7.3528,24.84,3.8,1017.0,81.0,77.0,1628377375.0
kismayo,PG,-0.3582,42.5454,24.11,7.15,1014.0,81.0,26.0,1628377376.0
hobyo,PG,5.3505,48.5268,24.43,10.93,1011.0,83.0,99.0,1628377378.0
brigantine,PG,39.4101,-74.3646,23.16,7.13,1018.0,78.0,100.0,1628377262.0
ampanihy,PG,-24.7,44.75,16.51,1.88,1019.0,82.0,0.0,1628377381.0
salamanca,PG,40.8333,-6.0,13.88,3.17,1016.0,62.0,45.0,1628377382.0
sobolevo,PG,54.4299,31.8996,12.43,2.72,1013.0,97.0,71.0,1628377383.0
strezhevoy,PG,60.7333,77.5889,14.99,1.14,1011.0,84.0,5.0,1628377385.0
skibbereen,PG,51.55,-9.2667,13.89,8.89,1004.0,83.0,65.0,1628377386.0
birao,PG,10.2849,22.7882,20.4,1.62,1014.0,96.0,97.0,1628377388.0
nantucket,PG,41.2835,-70.0995,22.51,6.68,1017.0,86.0,100.0,1628377264.0
iqaluit,PG,63.7506,-68.5145,9.85,7.72,999.0,66.0,75.0,1628377276.0
nome,PG,64.5011,-165.4064,9.04,3.09,1009.0,81.0,90.0,1628377391.0
kattivakkam,PG,13.2167,80.3167,29.05,5.28,1005.0,74.0,44.0,1628377393.0
lompoc,PG,34.6391,-120.4579,21.66,5.66,1013.0,68.0,1.0,1628377372.0
totskoye,PG,52.5248,52.7623,17.89,1.93,1019.0,43.0,33.0,1628377395.0
wanaka,PG,-44.7,169.15,3.39,3.64,1003.0,98.0,100.0,1628377175.0
kampot,PG,10.6167,104.1833,28.03,3.25,1009.0,89.0,99.0,1628377399.0
bafra,PG,41.5678,35.9069,20.88,3.43,1010.0,84.0,99.0,1628377401.0
inuvik,PG,68.3499,-133.7218,9.42,2.57,1015.0,81.0,90.0,1628377402.0
gamba,PG,-2.65,10.0,22.42,2.6,1017.0,87.0,98.0,1628377404.0
takoradi,PG,4.8845,-1.7554,24.26,4.32,1016.0,89.0,34.0,1628377212.0
priargunsk,PG,50.3691,119.1012,18.77,3.07,1003.0,83.0,26.0,1628377406.0
ariquemes,PG,-9.9133,-63.0408,27.35,0.42,1010.0,33.0,3.0,1628377215.0
mehamn,PG,71.0357,27.8492,15.95,4.03,1019.0,62.0,83.0,1628377408.0
katangli,PG,51.7102,143.2326,13.15,6.44,1022.0,81.0,100.0,1628377410.0
henties bay,PG,-22.116,14.2845,11.03,1.42,1019.0,78.0,2.0,1628377411.0
tasiilaq,PG,65.6145,-37.6368,7.09,3.97,1008.0,94.0,100.0,1628377412.0
bandarbeyla,PG,9.4942,50.8122,24.11,12.82,1008.0,83.0,12.0,1628377414.0
port hedland,PG,-20.3167,118.5667,17.03,4.63,1019.0,27.0,16.0,1628377415.0
christchurch,PG,-43.5333,172.6333,5.1,1.54,1001.0,87.0,90.0,1628377151.0
bud,PG,39.447,-86.1758,28.36,1.45,1015.0,65.0,23.0,1628377417.0
rochester,PG,43.1548,-77.6156,24.81,1.34,1015.0,73.0,90.0,1628377269.0
kuvandyk,PG,51.4781,57.3552,15.04,1.92,1018.0,53.0,1.0,1628377421.0
fairbanks,PG,64.8378,-147.7164,14.11,0.45,1009.0,89.0,90.0,1628377288.0
rock sound,PG,24.9,-76.2,28.54,3.78,1018.0,74.0,6.0,1628377394.0
tura,PG,25.5198,90.2201,23.56,2.41,1005.0,99.0,100.0,1628377425.0
aykhal,PG,66.0,111.5,12.51,3.89,1009.0,75.0,100.0,1628377426.0
airai,PG,-8.9266,125.4092,14.58,1.34,1017.0,55.0,26.0,1628377427.0
wilson,PG,36.1501,-86.2833,28.96,3.09,1016.0,54.0,20.0,1628377429.0
qaanaaq,PG,77.484,-69.3632,5.26,0.73,1001.0,77.0,98.0,1628377430.0
galbshtadt,PG,53.2264,78.9845,16.9,3.37,1008.0,71.0,36.0,1628377431.0
barcelos,PG,41.5388,-8.6151,15.96,2.49,1018.0,93.0,4.0,1628377154.0
carutapera,PG,-1.195,-46.02,24.3,2.03,1013.0,88.0,56.0,1628377434.0
caernarfon,PG,53.1413,-4.2702,15.23,10.29,996.0,45.0,90.0,1628377435.0
namatanai,PG,-3.6667,152.4333,27.34,2.68,1015.0,76.0,50.0,1628377436.0
isangel,PG,-19.55,169.2667,23.51,3.06,1020.0,63.0,92.0,1628377438.0
bathsheba,PG,13.2167,-59.5167,27.49,4.68,1014.0,75.0,9.0,1628377439.0
kununurra,PG,-15.7667,128.7333,16.99,2.57,1019.0,45.0,12.0,1628377440.0
pierre,PG,44.3683,-100.351,33.9,8.2,1001.0,26.0,17.0,1628377328.0
paracuru,PG,-3.41,-39.0306,26.73,7.27,1014.0,78.0,68.0,1628377443.0
abha,PG,18.2164,42.5053,19.76,1.55,1012.0,58.0,55.0,1628377246.0
pathum thani,PG,14.0833,100.6,26.82,3.09,1008.0,84.0,20.0,1628377445.0
puyang,PG,29.4603,119.8861,25.59,0.92,1005.0,87.0,31.0,1628377446.0
bengkulu,PG,-3.8004,102.2655,24.21,1.75,1011.0,90.0,9.0,1628377448.0
arkul,PG,57.2808,50.044,13.14,1.34,1021.0,95.0,64.0,1628377449.0
ahtopol,PG,42.1,27.95,19.26,2.24,1015.0,71.0,0.0,1628377450.0
wells,PG,51.2079,-2.649,14.73,7.21,1002.0,87.0,61.0,1628377452.0
kuito,PG,-12.3833,16.9333,12.61,1.17,1019.0,21.0,8.0,1628377333.0
parabel,PG,58.6978,81.4825,15.78,1.93,1011.0,94.0,100.0,1628377454.0
toronto,PG,43.7001,-79.4163,23.43,1.78,1013.0,83.0,66.0,1628377269.0
pemangkat,PG,1.1667,108.9667,26.3,1.36,1010.0,85.0,99.0,1628377456.0
roebourne,PG,-20.7833,117.1333,20.05,4.1,1019.0,41.0,79.0,1628377458.0
pampas,PG,-12.4,-74.9,11.66,3.28,1017.0,65.0,39.0,1628377459.0
mvuma,PG,-19.2792,30.5283,11.92,3.73,1023.0,61.0,0.0,1628377460.0
pangody,PG,65.85,74.4859,16.78,3.09,1014.0,63.0,2.0,1628377462.0
berlevag,PG,70.8578,29.0864,15.97,1.54,1019.0,67.0,0.0,1628377463.0
saldanha,PG,-33.0117,17.9442,13.34,2.43,1016.0,75.0,100.0,1628377446.0
saint-augustin,PG,51.226,-58.6502,18.28,0.5,1008.0,94.0,100.0,1628377465.0
taormina,PG,37.8536,15.2885,25.57,0.51,1013.0,56.0,0.0,1628377467.0
mundo nuevo,PG,18.7,-95.5,28.64,6.08,1012.0,76.0,47.0,1628377468.0
churapcha,PG,62.0025,132.4325,18.2,7.03,1021.0,34.0,3.0,1628377469.0
batagay-alyta,PG,67.8006,130.4114,19.06,1.0,1020.0,36.0,26.0,1628377471.0
jumla,PG,29.2747,82.1838,15.87,0.51,1012.0,94.0,84.0,1628377279.0
bara,PG,10.3744,10.7288,22.21,2.54,1015.0,95.0,78.0,1628377473.0
provideniya,PG,64.3833,-173.3,7.28,2.93,1010.0,80.0,100.0,1628377446.0
sioux lookout,PG,50.1001,-91.917,24.6,2.96,1011.0,42.0,99.0,1628377475.0
thompson,PG,55.7435,-97.8558,29.5,6.33,1002.0,32.0,74.0,1628377478.0
suruc,PG,36.9761,38.425,28.11,2.68,1004.0,32.0,0.0,1628377479.0
yorosso,PG,12.3536,-4.7761,23.8,3.11,1015.0,85.0,77.0,1628377480.0
oda,PG,35.1833,132.5,27.45,1.71,1004.0,78.0,65.0,1628377482.0
husavik,PG,66.0449,-17.3389,14.64,1.65,1008.0,74.0,92.0,1628377483.0
ballina,PG,-28.8667,153.5667,14.32,5.82,1028.0,73.0,57.0,1628377484.0
sabha,PG,27.0377,14.4283,33.73,3.88,1011.0,8.0,0.0,1628377486.0
fort frances,PG,48.5999,-93.4003,24.53,3.85,1009.0,69.0,96.0,1628377242.0
daru,PG,-9.0763,143.2092,25.41,6.46,1015.0,80.0,84.0,1628377488.0
pundaguitan,PG,6.3711,126.1689,27.52,4.84,1012.0,76.0,100.0,1628377489.0
taltal,PG,-25.4,-70.4833,12.09,1.87,1020.0,85.0,30.0,1628377491.0
vardo,PG,70.3705,31.1107,13.59,3.67,1020.0,73.0,63.0,1628377442.0
kahului,PG,20.8947,-156.47,27.05,5.43,1019.0,74.0,7.0,1628377380.0
kjollefjord,PG,70.9457,27.3465,15.88,4.32,1019.0,66.0,96.0,1628377495.0
cockburn town,PG,21.4612,-71.1419,28.98,4.12,1017.0,70.0,40.0,1628377497.0
klaksvik,PG,62.2266,-6.589,14.51,9.89,1003.0,88.0,96.0,1628377498.0
simao,PG,22.7886,100.9748,18.34,0.23,1008.0,99.0,99.0,1628377499.0
lobito,PG,-12.3481,13.5456,21.61,1.94,1016.0,86.0,43.0,1628377501.0
misratah,PG,32.3754,15.0925,27.68,5.04,1013.0,73.0,0.0,1628377447.0
carnarvon,PG,-24.8667,113.6333,17.04,2.57,1016.0,90.0,40.0,1628377464.0
llano largo,PG,7.9,-80.4333,24.75,2.34,1012.0,88.0,99.0,1628377504.0
miracema do tocantins,PG,-9.5618,-48.3967,27.13,2.08,1013.0,36.0,37.0,1628377506.0
tocopilla,PG,-22.092,-70.1979,14.96,3.86,1020.0,73.0,24.0,1628377313.0
kenai,PG,60.5544,-151.2583,15.01,3.6,1011.0,78.0,90.0,1628377508.0
haines junction,PG,60.7522,-137.5108,22.33,3.26,1006.0,54.0,76.0,1628377510.0
poum,PG,-20.2333,164.0167,21.35,2.61,1021.0,66.0,100.0,1628377511.0
san quintin,PG,30.4833,-115.95,22.68,4.89,1012.0,68.0,4.0,1628377512.0
sao jose da coroa grande,PG,-8.8978,-35.1478,23.53,7.34,1019.0,74.0,72.0,1628377514.0
